269,103,ANZ,WF,CMOAU48857373434,2016-08-01 13:31:43,2016/08/01 00:00:00,USD,14802.08,USD,14802.08,,WFBIUS6SXXX,,,,,SHA,160801,2016-08-01T13:31:43.000000000+10:00,2016-08-01T03:31:43.000000000+00:00,2016/08/01 03:31:43,ANZ,WF,REQUEST,BOOK
269,103,ANZBAU3MXXX,PNBPUS3NNYC,CMOAU48857373434,2016/07/31 23:31:45,2016/08/01 00:00:00,USD,14802.08,USD,14802.08,A,WFBIUS6SXXX,,,,,SHA,160801,2016-07-31T23:31:45.000000000-05:00,2016-08-01T03:31:45.000000000+00:00,2016/08/01 03:31:45,ANZ,WF,CONFIRMATION,BOOK
270,103,ANZ,WF,1003898954279,2016-08-01 13:38:52,2016/08/01 00:00:00,USD,1120,USD,1120,,WFBIUS6SXXX,,,,,SHA,160801,2016-08-01T13:38:52.000000000+10:00,2016-08-01T03:38:52.000000000+00:00,2016/08/01 03:38:52,ANZ,WF,REQUEST,BOOK
270,103,ANZBAU3MXXX,PNBPUS3NNYC,1003898954279,2016/07/31 23:38:52,2016/08/01 00:00:00,USD,1120,USD,1120,A,WFBIUS6SXXX,,,,,SHA,160801,2016-07-31T23:38:52.000000000-05:00,2016-08-01T03:38:53.000000000+00:00,2016/08/01 03:38:53,ANZ,WF,CONFIRMATION,BOOK
271,103,ANZ,WF,1003898243599,2016-08-01 13:39:44,2016/08/01 00:00:00,USD,5200,USD,5200,,WFBIUS6SXXX,,,,,SHA,160801,2016-08-01T13:39:44.000000000+10:00,2016-08-01T03:39:44.000000000+00:00,2016/08/01 03:39:44,ANZ,WF,REQUEST,BOOK
271,103,ANZBAU3MXXX,PNBPUS3NNYC,1003898243599,2016/07/31 23:39:44,2016/08/01 00:00:00,USD,5200,USD,5200,A,WFBIUS6SXXX,,,,,SHA,160801,2016-07-31T23:39:44.000000000-05:00,2016-08-01T03:39:45.000000000+00:00,2016/08/01 03:39:45,ANZ,WF,CONFIRMATION,BOOK
272,103,ANZ,WF,CMOAU48103043434,2016-08-01 13:43:40,2016/08/01 00:00:00,USD,1834.53,USD,1834.53,,WFBIUS6SXXX,,,,,OUR,160801,2016-08-01T13:43:40.000000000+10:00,2016-08-01T03:43:40.000000000+00:00,2016/08/01 03:43:40,ANZ,WF,REQUEST,BOOK
272,103,ANZBAU3MXXX,PNBPUS3NNYC,CMOAU48103043434,2016/07/31 23:43:41,2016/08/01 00:00:00,USD,1834.53,USD,1834.53,A,//FW121000248,WFBIUS6SXXX,,,,OUR,160801,2016-07-31T23:43:41.000000000-05:00,2016-08-01T03:43:41.000000000+00:00,2016/08/01 03:43:41,ANZ,WF,CONFIRMATION,BOOK
273,103,ANZ,WF,CMOAU48820063434,2016-08-01 13:44:05,2016/08/01 00:00:00,USD,975000,USD,975000,,WFBIUS6SXXX,,,,,OUR,160801,2016-08-01T13:44:05.000000000+10:00,2016-08-01T03:44:05.000000000+00:00,2016/08/01 03:44:05,ANZ,WF,REQUEST,BOOK
273,103,ANZBAU3MXXX,PNBPUS3NNYC,CMOAU48820063434,2016/07/31 23:44:05,2016/08/01 00:00:00,USD,975000,USD,975000,A,WFBIUS6SXXX,,,,,OUR,160801,2016-07-31T23:44:05.000000000-05:00,2016-08-01T03:44:06.000000000+00:00,2016/08/01 03:44:06,ANZ,WF,CONFIRMATION,BOOK
274,103,PNBPUS33PHL,ANZBAU3MXXX,F60731058587000,2016/07/31 23:56:31,2016/08/01 00:00:00,USD,145627.2,USD,145634.2,A,ANZBFJFXXXX,,,,,SHA,160801,2016-07-31T23:56:31.000000000-05:00,2016-08-01T03:56:31.000000000+00:00,2016/08/01 03:56:31,WF,ANZ,REQUEST,BOOK
275,103,ANZ,WF,CMOAU48892663434,2016-08-01 14:08:34,2016/08/01 00:00:00,USD,6815.27,USD,6815.27,,WFBIUS6SXXX,,,,,OUR,160801,2016-08-01T14:08:34.000000000+10:00,2016-08-01T04:08:34.000000000+00:00,2016/08/01 04:08:34,ANZ,WF,REQUEST,BOOK
275,103,ANZBAU3MXXX,PNBPUS3NNYC,CMOAU48892663434,2016/08/01 00:08:35,2016/08/01 00:00:00,USD,6815.27,USD,6815.27,A,WFBIUS6SXXX,,,,,OUR,160801,2016-08-01T00:08:35.000000000-05:00,2016-08-01T04:08:35.000000000+00:00,2016/08/01 04:08:35,ANZ,WF,CONFIRMATION,BOOK
276,103,ANZBAU3MXXX,PNBPUS3NNYC,CMOAU48892913434,2016/08/01 00:10:37,2016/08/01 00:00:00,USD,380,USD,380,A,WFBIUS6SXXX,,,,,OUR,160801,2016-08-01T00:10:37.000000000-05:00,2016-08-01T04:10:37.000000000+00:00,2016/08/01 04:10:37,ANZ,WF,REQUEST,BOOK
276,103,ANZ,WF,CMOAU48892913434,2016-08-01 14:10:39,2016/08/01 00:00:00,USD,380,USD,380,,WFBIUS6SXXX,,,,,OUR,160801,2016-08-01T14:10:39.000000000+10:00,2016-08-01T04:10:39.000000000+00:00,2016/08/01 04:10:39,ANZ,WF,CONFIRMATION,BOOK
277,103,ANZBAU3MXXX,PNBPUS3NNYC,CMOAU48865603434,2016/08/01 00:11:29,2016/08/01 00:00:00,USD,9923.99,USD,9923.99,A,WFBIUS6SXXX,,,,,OUR,160801,2016-08-01T00:11:29.000000000-05:00,2016-08-01T04:11:29.000000000+00:00,2016/08/01 04:11:29,ANZ,WF,REQUEST,BOOK
277,103,ANZ,WF,CMOAU48865603434,2016-08-01 14:11:30,2016/08/01 00:00:00,USD,9923.99,USD,9923.99,,WFBIUS6SXXX,,,,,OUR,160801,2016-08-01T14:11:30.000000000+10:00,2016-08-01T04:11:30.000000000+00:00,2016/08/01 04:11:30,ANZ,WF,CONFIRMATION,BOOK
278,103,ANZ,WF,CMOAU48833243434,2016-08-01 14:13:52,2016/08/01 00:00:00,USD,420,USD,420,,WFBIUS6SXXX,,,,,SHA,160801,2016-08-01T14:13:52.000000000+10:00,2016-08-01T04:13:52.000000000+00:00,2016/08/01 04:13:52,ANZ,WF,REQUEST,BOOK
278,103,ANZBAU3MXXX,PNBPUS3NNYC,CMOAU48833243434,2016/08/01 00:13:52,2016/08/01 00:00:00,USD,420,USD,420,A,WFBIUS6SXXX,,,,,SHA,160801,2016-08-01T00:13:52.000000000-05:00,2016-08-01T04:13:53.000000000+00:00,2016/08/01 04:13:53,ANZ,WF,CONFIRMATION,BOOK
279,103,ANZ,WF,CMOAU48896233434,2016-08-01 14:18:00,2016/08/01 00:00:00,USD,10292.98,USD,10292.98,,WFBIUS6SXXX,,,,,SHA,160801,2016-08-01T14:18:00.000000000+10:00,2016-08-01T04:18:00.000000000+00:00,2016/08/01 04:18:00,ANZ,WF,REQUEST,BOOK
279,103,ANZBAU3MXXX,PNBPUS3NNYC,CMOAU48896233434,2016/08/01 00:18:02,2016/08/01 00:00:00,USD,10292.98,USD,10292.98,A,WFBIUS6SXXX,,,,,SHA,160801,2016-08-01T00:18:02.000000000-05:00,2016-08-01T04:18:02.000000000+00:00,2016/08/01 04:18:02,ANZ,WF,CONFIRMATION,BOOK
280,103,ANZBAU3MXXX,PNBPUS3NNYC,CMOAU48899733434,2016/08/01 00:29:09,2016/08/01 00:00:00,USD,35326.55,USD,35326.55,A,CMBCCNBSXXX,,,,,SHA,160801,2016-08-01T00:29:09.000000000-05:00,2016-08-01T04:29:09.000000000+00:00,2016/08/01 04:29:09,ANZ,WF,REQUEST,INTERMEDIARY
280,103,ANZ,WF,CMOAU48899733434,2016-08-01 14:29:12,2016/08/01 00:00:00,USD,35326.55,USD,35326.55,,CMBCCNBSXXX,,,,,SHA,160801,2016-08-01T14:29:12.000000000+10:00,2016-08-01T04:29:12.000000000+00:00,2016/08/01 04:29:12,ANZ,WF,CONFIRMATION,INTERMEDIARY
281,103,ANZBAU3MXXX,WFBIUS6SXXX,CMOAU48797963434,2016/08/01 00:48:02,2016/08/01 00:00:00,AUD,59719.97,AUD,59719.97,,,,,,,SHA,160801,2016-08-01T00:48:02.000000000-05:00,2016-08-01T04:48:02.000000000+00:00,2016/08/01 04:48:02,ANZ,WF,REQUEST,BOOK
